State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Kerala,48262.4702947089,93.23117949754273,6562.904214424358,85.68444949969658,21.0,94.62465695746846,8482.622007849446,32.9,1009.501989152774,28.963636591489035,7515.110946040985,32.6,6774.662433087829,67.73510611959279,111.12463215401425,55.29880296843679,2748.4720626421495,61.027467977614194
Mizoram,21.0,97.7426043278793,23201.326902688343,100.0,35453.36776475577,98.95793818319429,5.0,5.815589521404595,0.0,30.283553564211775,5.0,7.900965806730895,4.607794403090182,96.31165316783495,397.4550083397955,100.0,948.3353456409495,97.0
Jammu & Kashmir,21.0,95.2358759895412,850.3741571683024,97.47353366277261,39063.11451806559,95.6114239654768,2201.5049797605257,8.444490854434783,0.0,7.285451615222146,5.0,6.580281975738821,4.0,46.59017689177773,0.0,74.42186826679789,4.0,54.41213401529515
Odisha,38854.68141517869,96.59763177944578,19775.860069401402,92.3392781748664,78463.94196939937,96.08638983749519,2888.008368052677,7.070969649696593,360.64238358078285,6.761516256189755,6317.28005644051,7.467853478102363,3638.33297403116,74.46754215707072,228.2116954903556,76.43202875964224,1694.1320113861432,76.76376086621623
Jharkhand,58337.39150933616,90.63033667681268,10468.886403210803,82.27691397629076,53916.73917409269,88.03530285700462,2284.9432986634247,6.38122470086972,250.83397716270701,6.092946069135963,5958.139151085937,5.7114284036703,2317.3141921923675,54.8354377381432,279.6229479925113,40.39205191785217,2091.651761966974,53.36615983472399
Tamil Nadu,42420.60019357719,98.49686787160826,12290.283481242765,90.82052058237295,113337.43240525227,95.71779579383704,22145.069094115206,25.948378051079647,4128.886919461544,22.14207330471701,26735.468131396225,26.381163745636496,19888.111496570098,95.17333619533818,3283.4391158820436,89.72303623074997,20264.36069176224,90.64559867264471
Goa,21.0,99.2,2.0,72.1138898494421,21.0,93.09679655990965,5.0,22.18327446726481,475.2023002737344,14.510287910104188,2085.0884242675784,19.49673626577846,4.0,89.18260370457409,0.0,55.67097421160459,2497.5240732168845,87.86278572882809
Ladakh,21.0,92.3161637188612,3361.900488327313,80.63973213577462,21.0,91.67175001723335,2250.5201189454056,2.3,338.22184659829935,10.647015801211214,1632.962259111548,2.864104278888732,221.53327703587766,86.54342752257217,0.0,100.0,2622.6401238370363,88.37342110553487
Tamil Nadu,68585.46167506944,98.05876203559293,30773.560739854955,90.38584018155788,146316.79891202634,95.76635927295426,21520.787049003047,26.985498979981067,3880.8578093715796,22.840494517430155,24500.06795293196,24.844090371415515,20119.944557829444,95.3677048936437,2976.970560816653,91.79217448430907,23766.191357113756,92.66251706456158
Rajasthan,72318.97485352616,89.65740793240433,36007.74664963457,88.56126881232974,103060.95139801677,91.04341835795294,3286.897935780586,2.3,829.9503115003499,2.9961648249084254,6525.008346396832,2.6387723458256436,646.5431619055439,66.27974370404863,54.71038975841623,43.59147573922337,2386.221026493485,61.84490266483783
Manipur,21.0,77.42916539761613,9196.232551561654,55.05761575177175,21.0,75.9194131252846,5.0,16.06019381409709,586.6041609603717,7.449812786072479,998.1693498535628,14.788932369516601,4.0,42.86662721956384,0.0,17.47998008588651,1467.7492440582796,47.56442102768217
West Bengal,50899.206791862576,93.07500285586852,4601.691659029275,81.20801925316975,19960.660963315997,92.91080691833598,9894.728884794837,14.745581737661702,950.8634105859053,13.60140624716757,12553.612402597035,14.433008363440987,12419.242268394417,72.34748483254964,842.3127032086435,71.02981398184062,11102.221662560447,76.54231378875775
India,1683623.0373367355,93.49706303806168,508900.0,89.26897485319026,2177107.146735495,90.97788191203036,142007.7951459503,7.382916616546975,30357.82982235831,6.368557330310418,173731.0,7.441866381332099,93897.0,65.21051238215287,16161.0,56.92228241129593,108390.51963438824,61.67929366147858
Puducherry,38213.17042072295,98.03749436107806,2.0,100.0,21.0,99.2,5.0,29.852492195874316,217.43009642479953,0.0,2330.9720568488797,30.4496205264419,4.0,96.9,,,1447.8224554806147,91.84446230343488
Karnataka,44313.4584065549,97.05845008449778,12912.838020266006,89.2274023665477,82463.59190546683,94.62702035824982,10929.364096625424,14.76545986996327,1051.0993064935096,9.12454606255519,6166.717707319703,15.136441456789136,9810.942563061646,77.08174543093207,863.2565302444311,73.73427742002369,6484.390984367039,76.56157973531064
Andhra Pradesh,86073.94341611973,99.2,33122.12254219526,98.01283427812989,97856.49055129598,98.94229854285382,8972.846711795379,12.125914668030465,2495.86554420705,12.171165045528284,17500.45887641193,12.559012592427228,6581.453515702041,70.62274095451536,1961.0694754137237,58.7003136017248,11089.443709303216,71.32471374863839
Karnataka,56811.92741249242,95.8569131838636,16383.407783103296,89.62436844256449,100814.50604716889,95.00144700152114,12913.763866304555,14.4731317829243,1404.9619779321185,9.43965869868597,8266.760724209853,13.538252589680715,9854.73375240407,76.67197477412977,683.8506212508192,70.65286590813909,7653.41083126082,77.46643098538567
Uttar Pradesh,376530.7984703077,92.96740670999809,95713.49503216028,85.91941280074509,458398.58988653583,91.61137752239227,25261.638797807995,6.377702009864586,1427.105089730159,3.3443524723389126,25365.73660541964,5.882989970359956,7928.135920955948,38.0,618.1328233653467,31.249993818449823,8906.807601086146,39.434187230491375
Kerala,9942.761368276831,93.27846349382543,10824.609536721027,89.81069003190606,21.0,92.89784042217693,3452.4474181399173,32.9,1225.0727068446276,30.67332115888641,10490.890488103445,32.093823491444944,1751.7466114419003,61.06718029592566,528.9506268582252,64.43893836373903,6841.2063565938915,68.53529924979956
Tripura,13228.320388075337,93.94440507213093,2026.8751443046312,83.3847300330948,21.0,94.68175134811891,618.3622102500464,15.078570032080986,356.69663308119607,15.951405653849967,5.0,15.53040194949749,720.3223142573341,38.76021647208026,210.3667249233182,4.790949850418276,652.1050239269459,40.69875137352369
Rajasthan,120754.16697071391,90.56661934973647,46419.5485940723,89.65252953141318,167351.37522884045,89.9418712749259,1837.950468123929,2.5422241704172346,914.8467778962511,4.227161815607215,8343.764968573128,2.5,3250.2555811354528,65.24287284333188,297.2186080762842,37.75122600912968,420.0089633071111,60.97640551123197
Haryana,37458.27772696447,96.15226687652282,9380.340924231858,90.44349563880662,2910.2100231171207,94.99117445645109,1401.8990163716994,8.731729690035584,1388.1543441261128,4.216966216811086,9611.564232484006,6.025029472875138,1909.2397088326215,72.45043087056034,388.77586835717386,63.912472671422925,3751.287166270664,77.5932311231768
Telangana,92498.01214999007,93.96350475354403,21617.62172167839,91.64107448288475,44343.35523488949,93.89133023000014,1247.8792374623151,6.442749760040887,831.4056463626351,4.6618871613028645,10144.669242332347,5.523138178073651,3946.7145346616517,83.52721724921093,1038.0617286772042,83.23241357139575,2653.7231585930203,80.80852620352499
Goa,15252.394237341701,97.32072656551051,19326.033813606457,71.45001879749047,21.0,93.76295955210401,35.990684689725924,19.142072721133868,0.0,16.503691753963434,3106.279235604977,20.014288028414974,1890.0292918768805,87.88974032598794,0.0,55.148797706909654,4.0,87.9867959534764
Jammu & Kashmir,21.0,94.97281892379783,2.0,93.99795966895255,7119.562720297431,95.45812033417104,5.0,6.586528165685998,975.5909560955178,8.048423160864186,5.0,7.423823377842838,4504.756572907962,50.808103417757465,77.10369883435098,77.6662599615257,4.0,55.46577352714557
Rajasthan,135718.51878252364,88.96566453446239,45302.730950042074,88.67492059241123,179030.59723725112,90.80863683615586,6560.370746469671,2.3414951308441814,1445.5600684781946,2.76793428153632,6168.754723461055,3.122250108622746,3417.0046762814936,67.513038256203,174.90860009670854,43.793787983492784,4568.32923718052,58.111544456082186
Gujarat,59499.303628834954,97.09480756520038,35538.937618057265,89.35944221644684,146885.76850473526,96.12891696408886,4201.692752369709,5.694150364043225,1910.1975336100027,2.484763260417802,6797.778537162131,3.986017350863452,5813.568322303494,76.56860899097035,945.4891447785299,79.08204849921437,6176.561007368075,79.33914004579
West Bengal,49056.411905242625,93.18501475735168,2.0,80.4485701067817,64994.38138199756,93.42386144954058,13483.320034783888,15.558865497124438,1177.2234243955547,14.729747435152566,17050.546562732343,13.58001904932254,7994.708305013099,74.8482574439161,908.1706652908788,78.05574606798237,8636.890356123422,76.81716995336669
Tripura,21.0,93.824152003509,4386.647822674542,85.01293017347048,21.0,95.60247346668697,5.0,15.389720152227431,599.6641556481345,17.045453162382593,3189.890356515642,15.416887978998469,17.365972804644258,39.82914825371792,238.70346699248,0.3011395740301537,3241.167841509516,42.03324952906935
Uttar Pradesh,338184.1833414681,92.55138460516977,114476.48198594499,85.39307763566684,462457.91641529574,91.89575132284172,22526.043388415215,4.80405633410288,1441.8465177578448,1.2460838935809249,23086.637778520286,5.084147904598777,9844.784335548313,38.0,0.0,34.33917395707226,7112.29378622715,36.464027967072894
Chhattisgarh,24282.508812589258,90.86965347948325,11104.672545878684,88.93038272309128,68287.35266965351,91.77615469772465,5.0,8.763913977079243,0.0,7.704598005455387,3701.299777529778,9.162602761625791,4234.178007923304,47.91291430443778,347.1306715304244,23.51527299851781,4.0,44.04810864500697
Jammu & Kashmir,20130.02513394771,95.59885846837032,2.0,95.82119732788831,21.0,95.85262605041,1417.316949796058,6.846118349434834,0.0,7.832250065118813,2290.0690152920115,7.789759701927313,4.0,49.886713911675116,204.17687841499165,76.5030596928092,1553.8319508305506,54.99668962851818
Lakshadweep,18393.39439982255,95.06941717306022,,,31278.284650000696,95.40998363453123,5.0,23.372265634937502,,,3531.595614867557,23.146286382262662,4.0,80.42984668450595,,,572.7947442374323,79.93364768286015
Himachal Pradesh,5786.233877310642,99.2,3552.074737632173,96.59996769166915,9847.262226756684,98.42005932032029,951.4390288269408,8.735497544544902,785.3957689541221,6.797688025083883,5.0,7.830807645399153,2241.104484863333,77.3211557054063,391.69645383783995,73.80566461192878,3727.776842448045,74.49998017476793
Tamil Nadu,64157.79831762353,98.43233792101366,11809.920380034924,89.20045550549553,82425.51259171563,96.94564415514175,23745.73938639807,26.79155865581164,3508.8013945293096,23.284107273972744,26245.699861743087,25.587184519051945,21541.60990807205,95.75959731517871,3074.5253463977024,89.89992727132123,21985.152256364567,96.35507883726368
Chhattisgarh,81673.04897004439,91.91823869153637,12206.509157752895,90.46938133955311,47946.931282654536,90.94863649697209,3587.874391728616,8.797746977910302,862.3166337041698,6.379333388965884,4475.89659810519,7.701802492155813,666.976528867474,47.594817620769874,553.1807312559137,26.212249656476466,4.0,40.119383353035765
Delhi,97545.08765434746,84.15058772394607,10649.31659690108,54.31975899478475,71906.20336730413,80.5615196105577,6197.240299927641,9.147433947277477,1033.6890429085197,11.155797183447598,8827.296352743384,8.814015666432885,105.38495990471893,47.80023381553415,892.4716700618724,27.69439775795845,4.0,49.05332295159546
Manipur,33086.33263296692,74.42816448755977,2.0,56.73135291746113,68953.54409635147,74.86868341924065,1537.6972129023588,14.80636209168143,573.619262545821,7.3944934944842,5.0,14.210521588974466,2601.011441404693,45.69667700915516,0.0,16.457475375105524,1429.7941277538994,45.97628181528236
Puducherry,21.0,98.56660314327706,2647.2373455586608,100.0,37412.15296203792,99.2,5.0,30.925664785908527,333.864176017416,0.0,5.0,30.306646099769356,4.0,96.9,,,1658.4676805566098,95.15527682092122
Lakshadweep,21.0,96.37899472259065,,,21.0,96.11225818702776,5.0,24.096862221036687,,,5.0,24.44948145743255,4.0,82.7946935352791,,,4.0,75.13227390297263
Uttar Pradesh,335404.0218489422,92.1269273478853,103640.44072409967,86.68489714082885,421470.1518781793,91.73368993196034,21726.841889933326,5.103870799795156,2153.6771340848136,1.7769687407218846,19133.516477651814,4.396708472615083,10084.525890686546,38.11491603192445,236.31548017904692,31.53325585114088,8917.669202518851,36.37115950309289
Tamil Nadu,50889.37419884685,98.24630385787093,29928.066961567252,90.19979108625152,158454.296420424,96.98271614308844,19329.292381192805,26.522510647512185,4247.07631464733,21.582445519902627,22190.728029313967,25.85290576056169,23167.550389265598,95.18934440924528,2858.974048437698,87.55256613005186,21382.04767662946,96.66987272415652
Punjab,13399.119336562137,90.7939302018215,2.0,92.67779500777091,96416.35970797972,90.77472154163439,5625.5181058117205,11.819887991696396,621.0027444772256,7.446857784849613,2571.9725849055512,10.18086233440554,1707.7182062450652,48.837365436523065,128.3480354470337,24.25076014469735,1583.0988196203493,45.063506824427726
Mizoram,9865.048595494784,99.2,4315.896954554371,99.95525045276379,10509.474509178826,98.65053038413897,1937.02508151197,6.722526785820042,0.0,30.639900441183915,5.0,5.950542570512381,1989.8280726642988,96.9,131.3630680689751,100.0,4.0,97.0
Manipur,21.0,76.20913588755867,2043.2275393474613,56.07751693001606,5528.431223034336,74.36472414533058,5.0,15.758712527209225,0.0,7.794619166449325,5.0,14.480432763415637,4.0,47.17741650514407,452.6527283610109,17.582395036550697,3236.991056007908,46.882568011054545
Andhra Pradesh,71144.40323666419,98.64283019195051,9752.77180970864,95.18262887388344,66965.7504182362,98.67634797688292,9991.87418991439,13.628547556568433,2759.6711660663213,10.285167567362985,9022.953038707932,12.343808944275647,5829.975879252624,73.81009516771805,1466.8063645133102,52.57369790233862,6308.844329971589,62.15384401112237
Haryana,92480.03270090104,95.87585269420312,28499.28624989953,91.62436325085038,67188.0952622219,93.8327497210055,2771.8494342114554,7.10559462975394,741.0588301893105,5.558871015772339,4543.011164788601,7.5592416155811515,5341.510236495422,74.765572033212,764.9371574494623,62.70140439100841,5830.317534317837,75.16731025058678
Telangana,53489.38319611478,95.23030074917658,23279.024605320054,94.0113227072871,115205.99603291621,94.44703960401709,2249.798503906369,5.523816392143607,1276.6122579003627,4.6743682283930195,108.15918685591805,6.53365674355808,1052.8326917214154,81.41125376237716,796.6421080151883,82.97133097191123,7405.902297349274,81.74799442389534
Meghalaya,21.0,79.31384938815579,4199.478301002684,50.35125000221887,10907.255991711454,75.02620296520888,2876.1152053999176,4.905755535684687,230.55903423167317,3.8562746324705697,5.0,5.970954380342315,1471.5888647770566,66.10116359751476,355.3345170030922,73.62042380830653,653.7717925869048,66.71717751906384
Telangana,62030.14653087809,93.17127168136443,2.0,92.70937092986955,79382.64340644285,92.99421980380912,2005.3926834921083,5.360217866663343,1680.3807900717297,5.948045416611908,8272.369240585158,5.61551653908885,4293.163053302214,80.93039078581629,734.8325152474293,80.65657999819678,4039.0751444906937,83.15981828067589
Chhattisgarh,30003.620262410626,91.84758969371414,3514.211020822967,89.96182422134213,37942.67552229191,90.97581793517304,1916.118592342014,9.716460241905882,218.16590292899565,6.179682329582249,5467.975440201264,9.338405807225293,2988.6443847465325,47.598586427860425,541.2429168113193,23.30940601153957,1833.850391922399,40.52583553369509
Nagaland,17752.16504124069,83.43370742653067,5637.3205203435655,95.36830067579388,10889.887745779566,83.74082086782693,4802.092985144798,5.644385190508021,595.0164755044035,5.275561434974913,5.0,6.247881017467688,4.0,45.75918427797263,0.0,8.46051460506464,4.0,43.20967556761995
Ladakh,21.0,92.56921390688014,2.0,82.3744438347538,21.0,91.84191420508732,5.0,2.4020893436355655,239.80816780766523,11.309577391290631,5.0,2.5,4.0,85.34779155453504,58.712273339565314,98.78359684771955,663.1096646891598,84.19186124931213
Kerala,15139.023357586979,93.16380031991962,10369.012322798435,88.9006408979314,54485.29881944407,93.57074698437832,4611.046903761859,32.9,997.0134375765007,30.51172934836396,10315.20182578992,32.6,1066.2245158937062,64.77326112124693,103.36915236275098,55.68696506767664,5416.369679573761,64.09042763730115
Rajasthan,75915.8689573601,89.94404068428616,26499.182530697482,89.12968558570809,119197.2613058492,89.4661268265599,3717.9853703674835,2.3,1866.0982590975605,3.8249169721749636,8699.731995534903,3.0012339668186705,3326.9232021772486,61.99692951353608,717.7273452142068,42.777034984234646,4284.726620571907,57.80577960492801
India,1680889.5883513554,91.51679014839169,508900.0,90.94970365578828,2206477.998475436,91.58820579151144,143167.0,8.497829106413587,30564.0,4.5458669974310535,171749.97610314706,8.61039587352831,93897.0,61.927519257273445,16161.0,52.467658548333965,110058.0,61.141254603199016
Tripura,21.0,95.66909139546605,2.0,84.04686044431732,21.0,94.97993292442587,5.0,13.96030161277787,0.0,18.359911320165658,5.0,14.302401006396687,4.0,39.972268686033004,475.2117668189356,1.8061083408133296,2593.2422297327707,36.34277895266558
